chromosome	source_rows	paired_panel_rows	aligned_rows	annotation_columns	missing_paired_snps	chr_mismatch	bp_mismatch	status
1	779354	491084	491084	97	0	0	0	PASS
2	839590	520990	520990	97	0	0	0	PASS
3	706350	452821	452821	97	0	0	0	PASS
4	729645	467274	467274	97	0	0	0	PASS
5	633015	392944	392944	97	0	0	0	PASS
6	664016	432823	432823	97	0	0	0	PASS
7	589569	376090	376090	97	0	0	0	PASS
8	549971	340742	340742	97	0	0	0	PASS
9	438106	276683	276683	97	0	0	0	PASS
10	510501	321568	321568	97	0	0	0	PASS
11	493922	310679	310679	97	0	0	0	PASS
12	480110	302052	302052	97	0	0	0	PASS
13	366200	232772	232772	97	0	0	0	PASS
14	324698	203964	203964	97	0	0	0	PASS
15	287001	182536	182536	97	0	0	0	PASS
16	316981	193246	193246	97	0	0	0	PASS
17	269222	166148	166148	97	0	0	0	PASS
18	285156	182779	182779	97	0	0	0	PASS
19	232363	148658	148658	97	0	0	0	PASS
20	221626	135506	135506	97	0	0	0	PASS
21	138712	89744	89744	97	0	0	0	PASS
22	141123	88626	88626	97	0	0	0	PASS
