metric_name	block_index	block_start_row	block_end_row	block_snp_n	start_chr	start_bp	end_chr	end_bp	full_estimate	full_SE	full_CI95_low	full_CI95_high	leave_block_estimate	delta_from_full	absolute_delta	influence_SE_ratio	sign_flip	influential	catastrophic	min_leave_block_estimate	max_leave_block_estimate	largest_influence_block	number_blocks
HSQ1	1	1	15563	15563	1	734349	1	14148441	0.4942643977082528	0.0331367103074015	0.4293164455057459	0.5592123499107597	0.4935167532474105	-0.0007476444608423005	0.0007476444608423005	0.022562422579265655	False	False	False	0.48677343342028334	0.49982065992701474	100	200
HSQ1	2	15564	31126	15563	1	14148565	1	28311773	0.4942643977082528	0.0331367103074015	0.4293164455057459	0.5592123499107597	0.4949073144715884	0.0006429167633356103	0.0006429167633356103	0.01940194899769537	False	False	False	0.48677343342028334	0.49982065992701474	100	200
HSQ1	3	31127	46689	15563	1	28312046	1	45739452	0.4942643977082528	0.0331367103074015	0.4293164455057459	0.5592123499107597	0.49434025142332794	7.585371507512484e-05	7.585371507512484e-05	0.002289114229247493	False	False	False	0.48677343342028334	0.49982065992701474	100	200
HSQ1	4	46690	62252	15563	1	45740701	1	62124897	0.4942643977082528	0.0331367103074015	0.4293164455057459	0.5592123499107597	0.49289241746627754	-0.001371980241975268	0.001371980241975268	0.0414036344962348	False	False	False	0.48677343342028334	0.49982065992701474	100	200
HSQ1	5	62253	77815	15563	1	62125490	1	78388269	0.4942643977082528	0.0331367103074015	0.4293164455057459	0.5592123499107597	0.49114123967001466	-0.0031231580382381496	0.0031231580382381496	0.09425069686354934	False	False	False	0.48677343342028334	0.49982065992701474	100	200
HSQ1	6	77816	93378	15563	1	78390390	1	90821175	0.4942643977082528	0.0331367103074015	0.4293164455057459	0.5592123499107597	0.4986687799375166	0.004404382229263815	0.004404382229263815	0.13291549427826094	False	False	False	0.48677343342028334	0.49982065992701474	100	200
HSQ1	7	93379	108941	15563	1	90821577	1	105208305	0.4942643977082528	0.0331367103074015	0.4293164455057459	0.5592123499107597	0.4912090937673429	-0.0030553039409099148	0.0030553039409099148	0.09220299518469323	False	False	False	0.48677343342028334	0.49982065992701474	100	200
HSQ1	8	108942	124504	15563	1	105208438	1	119907660	0.4942643977082528	0.0331367103074015	0.4293164455057459	0.5592123499107597	0.49305791633802104	-0.0012064813702317712	0.0012064813702317712	0.03640920776502936	False	False	False	0.48677343342028334	0.49982065992701474	100	200
HSQ1	9	124505	140067	15563	1	119908304	1	163571924	0.4942643977082528	0.0331367103074015	0.4293164455057459	0.5592123499107597	0.49394451035234666	-0.0003198873559061566	0.0003198873559061566	0.009653564066518266	False	False	False	0.48677343342028334	0.49982065992701474	100	200
HSQ1	10	140068	155630	15563	1	163573221	1	178057658	0.4942643977082528	0.0331367103074015	0.4293164455057459	0.5592123499107597	0.4869583220104273	-0.007306075697825487	0.007306075697825487	0.22048283097654336	False	False	False	0.48677343342028334	0.49982065992701474	100	200
HSQ1	11	155631	171193	15563	1	178057927	1	191147815	0.4942643977082528	0.0331367103074015	0.4293164455057459	0.5592123499107597	0.4953220846900967	0.001057686981843886	0.001057686981843886	0.03191888911216508	False	False	False	0.48677343342028334	0.49982065992701474	100	200
HSQ1	12	171194	186756	15563	1	191148108	1	206813737	0.4942643977082528	0.0331367103074015	0.4293164455057459	0.5592123499107597	0.4943302655068031	6.586779855027869e-05	6.586779855027869e-05	0.001987759132974835	False	False	False	0.48677343342028334	0.49982065992701474	100	200
HSQ1	13	186757	202319	15563	1	206817271	1	221044204	0.4942643977082528	0.0331367103074015	0.4293164455057459	0.5592123499107597	0.4943872760981127	0.00012287838985991506	0.00012287838985991506	0.003708225370593551	False	False	False	0.48677343342028334	0.49982065992701474	100	200
HSQ1	14	202320	217882	15563	1	221044966	1	233237589	0.4942643977082528	0.0331367103074015	0.4293164455057459	0.5592123499107597	0.4926407976169477	-0.001623600091305133	0.001623600091305133	0.0489970210151634	False	False	False	0.48677343342028334	0.49982065992701474	100	200
HSQ1	15	217883	233445	15563	1	233237670	1	244392845	0.4942643977082528	0.0331367103074015	0.4293164455057459	0.5592123499107597	0.49661008659361466	0.002345688885361852	0.002345688885361852	0.07078822440735504	False	False	False	0.48677343342028334	0.49982065992701474	100	200
