chromosome	population_score	score_rows	expected_rows	annotation_columns	gzip_integrity	header_consistent	nan_count	inf_count	negative_count	negative_value_policy	max_abs	extreme_abs_gt_1e8	constant_columns	n_constant_columns	parse_error	status
1	pop1	455562	455562	97	True	True	0	0	3155971	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	2074.74462890625	0		0		PASS
1	pop2	455562	455562	97	True	True	0	0	2542635	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1716.1136474609375	0		0		PASS
1	te	455562	455562	97	True	True	0	0	10125334	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1247.3853759765625	0		0		PASS
2	pop1	483350	483350	97	True	True	0	0	3711692	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1576.6602783203125	0		0		PASS
2	pop2	483350	483350	97	True	True	0	0	2874818	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1600.37158203125	0		0		PASS
2	te	483350	483350	97	True	True	0	0	11069415	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1163.343017578125	0		0		PASS
3	pop1	423587	423587	97	True	True	0	0	3279164	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	5042.58203125	0		0		PASS
3	pop2	423587	423587	97	True	True	0	0	2522823	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	4873.57421875	0		0		PASS
3	te	423587	423587	97	True	True	0	0	9622405	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	2174.275146484375	0		0		PASS
4	pop1	434675	434675	97	True	True	0	0	3520673	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	2615.3642578125	0		0		PASS
4	pop2	434675	434675	97	True	True	0	0	2751099	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	3195.203857421875	0		0		PASS
4	te	434675	434675	97	True	True	0	0	9636303	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	2328.412841796875	0		0		PASS
5	pop1	366982	366982	97	True	True	0	0	2801924	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	4438.81201171875	0		0		PASS
5	pop2	366982	366982	97	True	True	0	0	2190943	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	3663.49658203125	0		0		PASS
5	te	366982	366982	97	True	True	0	0	8427450	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	3767.5791015625	0		0		PASS
6	pop1	401686	401686	97	True	True	0	0	2629416	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	11219.2041015625	0		0		PASS
6	pop2	401686	401686	97	True	True	0	0	2047635	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	15471.583984375	0		0		PASS
6	te	401686	401686	97	True	True	0	0	8575498	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	9816.8310546875	0		0		PASS
7	pop1	351394	351394	97	True	True	0	0	2595358	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	2174.052978515625	0		0		PASS
7	pop2	351394	351394	97	True	True	0	0	2040109	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	2299.107666015625	0		0		PASS
7	te	351394	351394	97	True	True	0	0	8001451	ALLOWED_FOR_FINITE_SAMPLE_BIAS_CORRECTED_LD_SCORES	1499.89306640625	0		0		PASS
