block_index	start_chr	start_bp	end_chr	end_bp	SNP_N	DAR_SNP_N	matched_non_DAR_SNP_N	retinal_OCR_SNP_N	mean_chi2_het	max_chi2_het	p95_chi2_het	has_top_5pct_heterogeneity_snp	mean_MAF_avg_ref	mean_baseline_ld_base	retinal_OCR_density
1	1	734349	1	14148441	15563	2	4313	4315	1.2979825624344872	25.5695099564247	5.040120181925128	True	0.19494187736940177	22.26990233846442	0.2772601683480049
2	1	14148565	1	28311773	15563	9	3317	3326	1.1085498007772345	17.177723363915725	4.326132551714433	True	0.21790228466876566	25.30357235281607	0.21371200925271477
3	1	28312046	1	45739452	15563	7	2718	2723	1.2492722294135428	38.31266543298639	4.982074620786132	True	0.20973714367731155	33.45895509579084	0.17496626614405963
4	1	45740701	1	62124897	15563	3	2137	2140	1.2656089428041464	18.696758133132594	5.377332809225113	True	0.20481530891858896	40.90419216519514	0.1375056223093234
5	1	62125490	1	78388269	15563	2	1426	1428	1.3395917708193237	20.34127660685854	5.152420351379118	True	0.19732969206772474	35.089944327632274	0.0917560881578102
6	1	78390390	1	90821175	15563	3	1185	1188	1.106162970086252	14.060587077119576	4.307144372862782	True	0.20646593113795542	34.307433771281765	0.07633489687078326
7	1	90821577	1	105208305	15563	7	1156	1163	1.2782289158711657	25.641588943799302	4.727125154547211	True	0.20780016919938316	39.815702785918354	0.07472852277838463
8	1	105208438	1	119907660	15563	8	1754	1764	1.244987990120765	18.688598095545263	4.9481476475538795	True	0.2171402391184219	42.1393612558761	0.11334575595964788
9	1	119908304	1	163571924	15563	3	1997	2000	1.4196504636874965	15.492675394418862	5.278953605855999	True	0.22518286319475678	39.34815685539908	0.12850992739189102
10	1	163573221	1	178057658	15563	9	1742	1748	1.3717242257761637	26.923177577726225	5.08296266334732	True	0.20672407369080514	39.089392121174335	0.11231767654051275
11	1	178057927	1	191147815	15563	5	1518	1523	1.1429063253112406	18.6868513839307	4.3554456651155675	True	0.23485354247253096	76.97662826739852	0.09786030970892501
12	1	191148108	1	206813737	15563	4	2139	2147	1.3552188009946349	22.311733846059226	4.9774469438016	True	0.2104803250497976	42.68898567845486	0.13795540705519502
13	1	206817271	1	221044204	15563	0	1839	1839	1.2997257905248134	21.253270856040103	4.899171070256601	True	0.19074011651352568	25.595848817138556	0.1181648782368438
14	1	221044966	1	233237589	15563	5	2549	2554	1.2400257121519793	18.294447835423636	4.89139350790871	True	0.2189191333965174	42.655157646442085	0.16410717727944485
15	1	233237670	1	244392845	15563	2	1432	1433	1.0102949187210448	21.392390355651283	3.9917547447445076	True	0.2161634129891409	26.90761258503039	0.09207736297628992
16	1	244392878	2	6598379	484615	170	59883	60060	1.2148661115045412	41.14871008270847	4.67274267450711	True	0.20992104860084815	38.44207896331091	0.12393343169319976
17	2	6598529	2	20713697	15563	7	1995	2003	1.1367644204731935	18.164991931399914	4.667192963636976	True	0.2079979599659449	27.920598520431756	0.12870269228297887
18	2	20713703	2	37136760	15563	4	2082	2089	1.0006957803564571	22.908566607612585	3.730507047312641	True	0.2107193088607595	36.93800163077605	0.13422861916083018
19	2	37138046	2	51191994	15563	7	2075	2084	1.2216035707434858	25.92474457271703	4.7418116901198095	True	0.21472137770674035	34.43567439503233	0.13390734434235044
20	2	51193859	2	64552357	15563	2	1297	1299	1.425936357931208	21.91819275573132	5.483779821897145	True	0.22303202562809227	56.37664194673411	0.08346719784103322
21	2	64553247	2	78963044	15563	12	1734	1746	1.0496274537789607	13.769752197464578	3.9746358261386825	True	0.21465243060785197	31.707315698403455	0.11218916661312087
22	2	78963673	2	104422349	15563	7	1715	1721	1.0960371080412072	14.514680171303885	4.320399621094243	True	0.1979511534601298	48.19965336281642	0.11058279252072223
